WARNING | PyNaCl is not installed, voice will NOT be supported
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_setrole - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_reskin - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 2)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_broadcastplayer - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 3, None)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_clearinventory - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 1)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_give - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_give - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_give - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_give - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3)
DEBUG | Called: is_variable - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1) {'var_type': ['DEBUG_SE_PLAYER_VARIABLE', 'CI', 'GUARDS', 'MTFANDGUARDS', 'MTF', 'SCPS', 'SH', 'UIU', 'INTERCOMSPEAKER', 'SERVERSTAFF', 'EZ', 'HCZ', 'LCZ', 'POCKET', 'SURFACE', 'SENDER', 'EVPLAYER', 'EVATTACKER', 'DEBUG_ROLE_TYPE', 'NONE', 'SPECTATOR', 'CUSTOMROLE', 'OVERWATCH', 'FILMMAKER', 'TUTORIAL', 'SCP173', 'SCP106', 'SCP049', 'SCP0492', 'SCP079', 'SCP096', 'SCP939', 'CLASSD', 'SCIENTIST', 'FACILITYGUARD', 'NTFPRIVATE', 'NTFSERGEANT', 'NTFSPECIALIST', 'NTFCAPTAIN', 'CHAOSCONSCRIPT', 'CHAOSRIFLEMAN', 'CHAOSREPRESSOR', 'CHAOSMARAUDER', 'DEBUG_ROOM_TYPE', 'LCZARMORY', 'LCZCURVE', 'LCZSTRAIGHT', 'LCZ330', 'LCZ914', 'LCZCROSSING', 'LCZTCROSS', 'LCZCAFE', 'LCZPLANTS', 'LCZTOILETS', 'LCZAIRLOCK', 'LCZ173', 'LCZCLASSDSPAWN', 'LCZCHECKPOINTB', 'LCZGLASSBOX', 'LCZCHECKPOINTA', 'HCZ079', 'HCZEZCHECKPOINTA', 'HCZEZCHECKPOINTB', 'HCZARMORY', 'HCZ939', 'HCZHID', 'HCZ049', 'HCZCHKPA', 'HCZCROSSING', 'HCZ106', 'HCZNUKE', 'HCZTESLA', 'HCZSERVERS', 'HCZCHKPB', 'HCZTCROSS', 'HCZCURVE', 'HCZ096', 'EZVENT', 'EZINTERCOM', 'EZGATEA', 'EZDOWNSTAIRSPCS', 'EZCURVE', 'EZPCS', 'EZCROSSING', 'EZCOLLAPSEDTUNNEL', 'EZCONFERENCE', 'EZSTRAIGHT', 'EZCAFETERIA', 'EZUPSTAIRSPCS', 'EZGATEB', 'EZSHELTER', 'POCKET', 'SURFACE', 'EZCHECKPOINTHALLWAY', 'HCZTESTROOM', 'HCZSTRAIGHT'], 'star_allowed': True}
DEBUG | Called: error_template - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 1, 'Invalid SE player variable')
DEBUG | Called: add_line_to_result - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, '🟥')
DEBUG | Called: action_give - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>,)
DEBUG | Called: is_action_required_length - (<class_CodeVerifier.CodeVerifier object at 0x0000017B50C38350>, 2, 3)
